,ESCS,MATH,predict
479712,0.29,524.70012,485.76241459
477341,-0.38,430.99394,463.459694022
476750,1.31,563.88068,519.71581008
477437,0.3,328.25206,486.095291016
479505,-0.28,520.88332,466.788458286
475993,0.54,516.36548,494.084325249
476386,-1.37,323.57846,430.504927811
480113,-0.57,499.38466,457.135041921
475839,0.47,325.75948,491.754190265
477561,1.19,578.83628,515.721292964
479677,2.09,591.1435,545.680171338
479237,-1.5,543.4725,426.177534268
476084,0.81,427.09924,503.071988762
477487,1.87,567.61958,538.356889958
478093,0.89,654.549,505.735000173
478543,0.35,431.2276,487.759673148
476262,-2.35,412.5331,397.883038026
477737,0.57,399.29116,495.082954528
477664,0.95,547.75666,507.732258731
477647,-1.31,372.8073,432.502186369
479894,-0.46,490.19318,460.796682611
479201,1.31,481.07962,519.71581008
480311,-1.04,418.99826,441.489849881
478067,0.47,428.57924,491.754190265
479992,1.06,562.71226,511.393899421
476774,-0.96,409.0279,444.152861292
478325,0.48,616.77052,492.087066691
477684,0.47,611.00638,491.754190265
477318,-1.03,492.4521,441.822726308
478007,1.3,573.85108,519.382933654
478473,1.45,474.8481,524.37608005
479870,0.04,485.67532,477.44050393
476270,-0.36,557.88284,464.125446875
479282,-0.3,452.33682,466.122705433
478379,-0.57,468.85028,457.135041921
479627,1.29,450.85682,519.050057228
479068,-1.64,514.26232,421.517264299
479779,-1.29,510.36764,433.167939222
480169,1.09,649.95326,512.3925287
477912,-0.62,497.5152,455.470659789
479772,-0.48,386.82818,460.130929759
478364,0.21,528.12742,483.099403179
480527,1.13,348.19288,513.724034406
478984,0.67,448.44214,498.411718792
478134,-0.24,389.47652,468.119963992
476168,0.21,611.24006,483.099403179
478094,0.58,602.12648,495.415830955
476717,0.59,582.73096,495.748707381
478233,1.23,467.91558,517.052798669
479213,-0.17,583.04252,470.450098976
479052,-1.4,272.55804,429.506298532
479543,1.33,476.56178,520.381562933
477246,1.95,712.19038,541.019901369
479638,-0.15,578.13522,471.115851829
477338,-0.36,623.31358,464.125446875
479325,1.08,495.41206,512.059652274
479747,0.77,444.70324,501.740483056
479336,-0.03,513.4834,475.110368946
478774,0.61,452.88208,496.414460234
476550,-0.7,339.78034,452.807648378
475676,0.39,533.26842,489.091178854
478414,0.5,470.71974,492.752819544
478742,1.71,478.35334,533.030867136
477743,-0.15,442.21064,471.115851829
477452,1.31,566.7627,519.71581008
478478,-0.79,458.802,449.811760541
480503,1.52,539.65572,526.706215034
478452,0.93,457.71148,507.066505878
479958,1.57,611.24004,528.370597166
479540,-0.46,435.51176,460.796682611
477750,-0.64,472.82286,454.804906937
478113,-0.43,543.6283,461.795311891
480139,0.97,395.55226,508.398011584
479376,0.31,416.66146,486.428167443
475969,0.16,496.2689,481.435021047
479295,0.67,582.41938,498.411718792
477340,1.86,457.16624,538.024013531
480376,1.29,520.26018,519.050057228
480529,-0.42,291.17466,462.128188317
478097,1.13,632.81664,513.724034406
478150,0.57,357.38434,495.082954528
476126,0.58,414.9478,495.415830955
480226,-0.33,474.8481,465.124076154
475985,0.16,420.40038,481.435021047
480256,0.41,360.1885,489.756931706
477150,0.62,495.8794,496.74733666
